,count,weather,genre,asset_nm_new,rank
0,75,맑음,TV 시사/교양&기타,꼬리에꼬리를무는그날이야기,1
1,14,맑음,TV 시사/교양&기타,과학수사대스모킹건,4
3,17,맑음,TV 시사/교양&기타,그것이알고싶다,3
137,7,맑음,영화&액션/어드벤쳐,탈명검:풍운재기,9
139,7,맑음,영화&액션/어드벤쳐,표적,9
146,14,맑음,영화&액션/어드벤쳐,범죄도시3,4
153,13,맑음,영화&액션/어드벤쳐,존윅3:파라벨룸,6
222,8,맑음,영화&액션/어드벤쳐,해운대,8
244,24,맑음,키즈&기타,뽀로로인기동요,2
314,9,맑음,TV 시사/교양&기타,인간극장,7
11,74,비,TV 연예/오락&기타,런닝맨,4
13,61,비,TV 연예/오락&기타,TV동물농장,7
16,84,비,TV 연예/오락&기타,심야괴담회,3
75,56,비,TV드라마&기타,하늘의인연,8
76,98,비,TV드라마&기타,최강배달꾼,2
79,68,비,TV드라마&기타,천원짜리변호사,6
85,49,비,TV드라마&기타,금이야옥이야,9
88,47,비,TV드라마&기타,야인시대,10
93,71,비,TV드라마&기타,소방서옆경찰서그리고국과수,5
101,111,비,TV드라마&기타,연인파트1,1
73,22,흐림,TV드라마&기타,금이야옥이야,7
77,76,흐림,TV드라마&기타,최강배달꾼,1
92,32,흐림,TV드라마&기타,소방서옆경찰서그리고국과수,4
102,46,흐림,TV드라마&기타,연인파트1,2
109,18,흐림,TV드라마&기타,하늘의인연,8
111,17,흐림,TV드라마&기타,진짜가나타났다!,10
337,27,흐림,TV드라마&기타,TV소설은희,5
338,27,흐림,TV드라마&기타,일지매,5
340,18,흐림,TV드라마&기타,각시탈,8
431,42,흐림,키즈&기타,타요의씽씽극장동요2,3
